ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,male,2,own,little,little,1169,6,radio/TV
1,22,female,2,own,little,moderate,5951,48,radio/TV
2,49,male,1,own,little,little,2096,12,education
3,45,male,2,free,little,little,7882,42,furniture/equipment
4,53,male,2,free,little,little,4870,24,car
5,35,male,1,free,little,little,9055,36,education
6,53,male,2,own,quite rich,,2835,24,furniture/equipment
7,35,male,3,rent,little,moderate,6948,36,car
8,61,male,1,own,rich,little,3059,12,radio/TV
9,28,male,3,own,little,moderate,5234,30,car
10,25,female,2,rent,little,moderate,1295,12,car
11,24,female,2,rent,little,little,4308,48,business
12,22,female,2,own,little,moderate,1567,12,radio/TV
13,60,male,1,own,little,little,1199,24,car
14,28,female,2,rent,little,little,1403,15,car
15,32,female,1,own,moderate,little,1282,24,radio/TV
16,53,male,2,own,little,little,2424,24,radio/TV
17,25,male,2,own,,little,8072,30,business
18,44,female,3,free,little,moderate,12579,24,car
19,31,male,2,own,quite rich,,3430,24,radio/TV
20,48,male,2,own,little,little,2134,9,car
21,44,male,2,rent,quite rich,little,2647,6,radio/TV
22,48,male,1,rent,little,little,2241,10,car
23,44,male,2,own,moderate,moderate,1804,12,car
24,26,male,2,own,little,little,2069,10,furniture/equipment
25,36,male,1,own,little,little,1374,6,furniture/equipment
26,39,male,1,own,little,little,426,6,radio/TV
27,42,female,2,rent,rich,rich,409,12,radio/TV
28,34,male,2,own,little,moderate,2415,7,radio/TV
29,63,male,2,own,little,little,6836,60,business
30,36,male,2,own,rich,moderate,1913,18,business
31,27,male,2,own,little,little,4020,24,furniture/equipment
32,30,male,2,own,moderate,moderate,5866,18,car
33,57,male,1,rent,little,little,1264,12,business
34,33,female,3,own,little,rich,1474,12,furniture/equipment
35,25,male,1,own,little,moderate,4746,45,radio/TV
36,31,male,2,free,little,little,6110,48,education
37,37,male,2,own,little,rich,2100,18,radio/TV
38,37,male,2,own,little,rich,1225,10,domestic appliances
39,24,male,2,own,little,moderate,458,9,radio/TV
40,30,male,3,own,quite rich,,2333,30,radio/TV
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV
42,44,male,1,own,little,moderate,6204,18,repairs
43,24,male,2,rent,moderate,little,6187,30,car
44,58,female,1,free,little,little,6143,48,car
45,35,female,3,own,little,little,1393,11,car
46,39,male,2,own,quite rich,,2299,36,radio/TV
47,23,female,0,rent,quite rich,little,1352,6,car
48,39,male,1,own,little,little,7228,11,car
49,28,female,2,own,moderate,,2073,12,radio/TV
50,29,male,1,own,,moderate,2333,24,furniture/equipment
51,30,male,3,own,little,moderate,5965,27,car
52,25,male,2,own,little,little,1262,12,radio/TV
53,31,male,2,own,little,little,3378,18,car
54,57,male,2,free,little,moderate,2225,36,car
55,26,male,1,own,little,little,783,6,car
56,52,male,3,own,little,moderate,6468,12,radio/TV
57,31,female,2,own,little,,9566,36,radio/TV
58,23,female,3,own,little,rich,1961,18,car
59,23,female,1,rent,little,little,6229,36,furniture/equipment
60,27,male,2,own,little,moderate,1391,9,business
61,50,male,2,own,,moderate,1537,15,radio/TV
62,61,male,3,free,little,moderate,1953,36,business
63,25,male,2,own,little,moderate,14421,48,business
64,26,female,2,own,little,little,3181,24,radio/TV
65,48,male,2,own,little,little,5190,27,repairs
66,29,female,2,own,little,little,2171,12,radio/TV
67,22,male,2,own,rich,moderate,1007,12,car
68,37,male,2,free,little,little,1819,36,education
69,25,female,2,own,little,little,2394,36,radio/TV
70,30,female,2,own,little,,8133,36,car
71,46,male,1,rent,little,little,730,7,radio/TV
72,51,male,3,free,little,little,1164,8,vacation/others
73,41,female,1,own,little,moderate,5954,42,business
74,40,male,3,own,,little,1977,36,education
75,66,male,3,free,little,little,1526,12,car
76,34,male,2,own,little,little,3965,42,radio/TV
77,51,male,2,own,little,moderate,4771,11,radio/TV
78,39,male,1,own,little,little,9436,54,car
79,22,male,2,own,little,moderate,3832,30,furniture/equipment
80,44,female,2,own,little,little,5943,24,radio/TV
81,47,male,2,own,quite rich,little,1213,15,radio/TV
82,24,female,1,rent,moderate,,1568,18,business
83,58,female,1,own,little,little,1755,24,vacation/others
84,52,male,1,own,little,little,2315,10,radio/TV
85,29,female,3,own,little,little,1412,12,business
86,27,female,2,own,little,moderate,1295,18,furniture/equipment
87,47,male,2,free,moderate,moderate,12612,36,education
88,30,male,3,own,moderate,little,2249,18,car
89,28,male,2,own,little,little,1108,12,repairs
90,56,male,2,own,little,little,618,12,radio/TV
91,54,male,2,own,little,little,1409,12,car
92,33,female,1,own,little,little,797,12,radio/TV
93,20,male,2,rent,,rich,3617,24,furniture/equipment
94,54,male,2,own,rich,moderate,1318,12,car
95,58,male,2,rent,little,moderate,15945,54,business
96,61,female,2,own,little,little,2012,12,education
97,34,male,2,own,moderate,moderate,2622,18,business
98,36,male,2,own,little,moderate,2337,36,radio/TV
99,36,male,3,rent,little,moderate,7057,20,car
100,41,male,1,rent,moderate,,1469,24,car
101,24,male,2,rent,little,moderate,2323,36,radio/TV
102,24,female,2,own,little,little,932,6,radio/TV
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment
104,26,male,2,rent,little,little,2445,12,car
105,39,male,3,own,little,moderate,11938,24,vacation/others
106,39,male,3,own,little,little,6458,18,car
107,32,male,2,own,little,moderate,6078,12,car
108,30,female,2,own,,little,7721,24,furniture/equipment
109,35,male,2,own,quite rich,moderate,1410,14,business
110,31,male,2,own,moderate,moderate,1449,6,business
111,23,female,2,rent,little,rich,392,15,education
112,28,male,1,rent,little,moderate,6260,18,car
113,25,female,2,own,little,little,7855,36,car
114,35,male,2,own,quite rich,little,1680,12,radio/TV
115,47,male,2,own,,,3578,48,radio/TV
116,30,female,3,own,,little,7174,42,radio/TV
117,27,female,2,rent,,little,2132,10,furniture/equipment
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment
119,36,male,3,own,quite rich,moderate,2366,12,car
120,25,female,2,own,little,little,1835,21,radio/TV
121,41,female,3,rent,little,little,3868,24,car
122,24,male,1,rent,little,,1768,12,furniture/equipment
123,63,male,2,free,little,rich,781,10,car
124,27,female,2,rent,,moderate,1924,18,furniture/equipment
125,30,male,2,own,little,little,2121,12,car
126,40,male,1,own,little,little,701,12,radio/TV
127,30,male,2,own,little,moderate,639,12,repairs
128,34,male,3,own,little,moderate,1860,12,car
129,29,female,2,own,little,little,3499,12,car
130,24,female,2,own,,moderate,8487,48,car
131,29,male,2,own,little,little,6887,36,education
